title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_RAM Size,tech_Memory Technology,tech_Hard Drive Size,tech_Hard Disk Description,tech_Audio Details,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Connectivity Type,tech_Number of HDMI Ports,tech_Operating System,tech_Lithium Battery Energy Content,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Generic Name,tech_Batteries,tech_Processor Count,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Memory Clock Speed,tech_Hard Drive Interface,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Wireless Type,tech_Number of USB 3.0 Ports,tech_Voltage,tech_Optical Drive Type,tech_Are Batteries Included,tech_Number of Lithium Ion Cells,info_Net Quantity,tech_Package Dimensions,tech_Number of USB 2.0 Ports,tech_Average Battery Life (in hours),tech_Speaker Description,tech_Hard Disk Rotational Speed,tech_Power Source,tech_Hardware Platform,tech_Processor Socket,tech_Wattage,tech_Average Battery Standby Life (in hours),tech_Lithium Battery Weight,tech_Number of Lithium Metal Cells
"(Renewed) HP Elitebook Intel 8th Gen Core i7 14-Inch (35.56 cms) 1920 x 1080 (Full HD) Laptop (8 GB/512 GB SSD/Windows 10 Pro/Intel UHD Graphics 620/Silver/1.48 Kg), 840 G6","34,499",https://www.amazon.in/Renewed-HP-Elitebook-Graphics-840/dp/B08PKRR373/ref=sr_1_1321?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1321&xpid=KHCEe0RJJSJb6,2025-01-24 12:44:46,HP,hp,Elitebook,Silver,laptop,18 Millimeters,32.6 Centimeters,14 Inches,1920 x 1080 pixels,1920 x 1080 (Full HD),23.4 x 32.6 x 1.8 cm; 1.48 kg,840 G6-cr,Intel,Core i7,1.8 GHz,8 GB,DDR4,512 GB,SSD,Headphones,Intel UHD Graphics 620,Intel,Integrated,"Bluetooth, Wi-Fi",1,Windows 10 Pro,50 Watt Hours,"Laptop, Battery, AC Adapter, User Guide, Manuals",China,1 kg 480 g,B08PKRR373,"3.0
5 ratings
3.0 out of 5 stars","#89,223 in Computers & Accessories (See Top 100 in Computers & Accessories)
#338 in 4 star rated refurbished products
#2,820 in Traditional Laptops",3 December 2020,"HP Inc., HP India Sales Pvt. Ltd.","HP Inc., HP India Sales Pvt. Ltd.",23.4 x 32.6 x 1.8 Centimeters,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS ROG Strix Scar 16 (2024), Intel Core i9 14900HX 14th Gen, 16""(40.64cm) 2.5K QHD+240Hz, Gaming Laptop (32GB DDR5/2TB SSD/12GB RTX 4080/Win11/Per-Key RGB/90WHr/Black/2.65Kg),G634JZR-CM932WS","2,79,990",https://www.amazon.in/ASUS-14900HX-40-64cm-Gaming-G634JZR-CM932WS/dp/B0CV17QD1G/ref=sr_1_1322?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1322&xpid=KHCEe0RJJSJb6,2025-01-24 12:44:46,ASUS,ASUS,ROG Strix SCAR 16,Black,Ultra-Portable,42 Centimeters,33.6 Centimeters,40.64 Centimetres,2560 x 1600 pixels,2560 x 1600 Pixels,10.4 x 33.6 x 42 cm; 5.09 kg,G634JZR-CM932WS,Intel,Core i9,2.2 GHz,32 GB,DDR5,2 TB,SSD,Headphones,NVIDIA GeForce RTX 4070,AMD,Dedicated,Bluetooth,1,Windows 11 Home,,"Laptop, Adapter & User Manual",,5 kg 90 g,B0CV17QD1G,"3.4
8 ratings
3.4 out of 5 stars","#79,371 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,518 in Traditional Laptops",5 February 2024,"INVENTEC (CHONGQING) CORPORATION, NO.66, WEST DISTRICT 2ND RD, SHAPINGBA DISTRICT, CHONGQING, CHINA 401331","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",10.4 x 33.6 x 42 Centimeters,Gaming Laptop,1 Lithium Ion batteries required. (included),24,SODIMM,64 GB,5600 MHz,PCIE x 4,GDDR6,12 GB,Integrated,802.11ax,3,20 Volts,No Optical Storage,Yes,4,1 Count,,,,,,,,,,,,
"(Refurbished) ASUS Vivobook 16, Intel Core i5-12500H 12th Gen, 16"" (40.64 cm) FHD+, Thin and Light Laptop (16GB/512GB/Win11/Office 2021/Silver/1.8 kg), X1605ZAC-MB540WS","47,500",https://www.amazon.in/Refurbished-ASUS-Vivobook-i5-12500H-X1605ZAC-MB540WS/dp/B0DFYGMZCM/ref=sr_1_1323?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1323&xpid=KHCEe0RJJSJb6,2025-01-24 12:44:46,ASUS,ASUS,ASUS Vivobook,I5-12500H (Black),Ultra-Portable,,,16 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,,X1605ZAC-MB540WS-cr,Intel,Core i5,2.5 GHz,16,DDR4,512 GB,SSD,,Intel Iris Xe Graphics,Intel,Integrated,"Bluetooth, Wi-Fi",,Windows 11 Home,42 Watt Hours,"Laptop, Power Adaptor & User Manual",,1 kg 880 g,B0DFYGMZCM,,"#94,406 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,999 in Traditional Laptops",3 September 2024,,,,Laptop,,8,SODIMM,24 GB,3200 MHz,,Shared,16 GB,,"Bluetooth, 802.11ax",,19 Volts (AC),,,,1 Count,48.6 x 30.9 x 6.4 cm; 1.88 kg,1,6 Hours,,,,,,,,,
"(Refurbished) ASUS Vivobook 15, 15.6"" (39.62cm) FHD, Intel Core i7-12700H 12th Gen, Thin and Light Laptop (16GB/512GB SSD/Intel Iris Xᵉ Graphics/Windows 11/Office 2021/Quiet Blue/1.7 Kg), X1502ZA-EJ744WS","53,091",https://www.amazon.in/Refurbished-ASUS-Vivobook-i7-12700H-X1502ZA-EJ744WS/dp/B0DDTQHVX9/ref=sr_1_1324?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1324&xpid=KHCEe0RJJSJb6,2025-01-24 12:44:46,ASUS,ASUS,ASUS Vivobook 15,Quiet Blue,Ultra-Portable,48.6 Centimeters,29.6 Centimeters,15.6 Inches,1920 x 1080 pixels,1920 x 1080,6.7 x 29.6 x 48.6 cm; 2.66 kg,X1502ZA-EJ744WS-cr,Intel,Core i7,2.3 GHz,16,DDR4,512 GB,SSD,Bluetooth,Intel Iris Xe Graphics,Intel,Integrated,Bluetooth,,Windows 11 Home,42 Watt Hours,"Laptop, Adapter & User Manuals",,2 kg 660 g,B0DDTQHVX9,,"#93,155 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,950 in Traditional Laptops",21 August 2024,,,6.7 x 29.6 x 48.6 Centimeters,Laptop,,14,DDR4 SDRAM,24 GB,3200 MHz,PCIE x 4,Shared,,,Bluetooth,,19 Volts,,Yes,3,1 Count,,1,,SonicMaster technology,,,,,,,,
"MSI Vector 17 HX, Intel 14th Gen. i9-14900HX, 43CM QHD+ 240Hz Gaming Laptop (32GB/2TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4080, GDDR6 12GB/Cosmos Grey/3Kg), A14VHG-806IN","2,59,990",https://www.amazon.in/MSI-i9-14900HX-Windows-GeForce-A14VHG-806IN/dp/B0CTQV9LWZ/ref=sr_1_1326?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1326&xpid=KHCEe0RJJSJb6,2025-01-24 12:44:46,MSI,MSI,Vector 17 HX,Cosmos Gray,Laptop,50 Centimeters,40.3 Centimeters,43 Centimetres,2560 x 1600 pixel,,18.4 x 40.3 x 50 cm; 3 kg,,Intel,Core i9,1.6 GHz,,DDR5,,SSD,Headphones,NVIDIA GeForce RTX 4080,NVIDIA,Dedicated,Wi-Fi,,Windows 11 Home,,"Laptop , Power Adapter , MSI Laptop Bag",China,3 kg,B0CTQV9LWZ,"3.8
5 ratings
3.8 out of 5 stars","#87,782 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,774 in Traditional Laptops",1 February 2024,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",18.4 x 40.3 x 50 Centimeters,Laptop,1 Lithium Polymer batteries required. (included),1,DDR5 RAM,96 GB,,,GDDR6,12 GB,PCI Express,,2,14.1 Volts,,Yes,4,1 Count,,,,,,,,,,,,
"(Refurbished) Dell Latitude Laptop 5490 Intel Core i5 7th Gen -Processor , 4 GB Ram & 512 GB SSD, 14 Inches FHD 1080p Screen Notebook Computer","16,270",https://www.amazon.in/Refurbished-Dell-Latitude-Processor-Notebook/dp/B0C9TF9NNC/ref=sr_1_1327?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1327&xpid=KHCEe0RJJSJb6,2025-01-24 12:44:46,Dell,Dell,5490-i5-7,,Laptop,2 Centimeters,23 Centimeters,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,34 x 23 x 2 cm; 1.7 kg,5490-i5-4-512-cr,Intel,Core i5 7200U,2.6 GHz,4 GB,DDR4,512 GB,SSD,Headphones,,Intel,Integrated,Wi-Fi,1,Windows 10 Pro,,"Cable, Laptop, Charger",India,1 kg 700 g,B0C9TF9NNC,,"#94,219 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,993 in Traditional Laptops",30 June 2023,,,34 x 23 x 2 Centimeters,,,1,DDR4 SDRAM,4 GB,,,DDR SDRAM,4 GB,Integrated,802.11n,3,,No Optical Drive,No,,1.00 count,,,,,5400 RPM,Battery Powered,Windows,,,,,
(Refurbished) Dell Latitude 3410 Intel Core i3-10110U Cpu@2.10GHz [RAM 8 GB-HDD-256 GB + 1 TB ],"17,900",https://www.amazon.in/Refurbished-Latitude-i3-10110U-2-10GHz-GB-HDD-256/dp/B0DRW92KN8/ref=sr_1_1328?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1328&xpid=KHCEe0RJJSJb6,2025-01-24 12:44:46,DELL,DELL,Latitude_3410_I3,,,,,14 Inches,,1366 x 768 Pixels,,,Intel,Intel Core i3,2.1 GHz,,DDR4,,HDD,,,Intel,Integrated,,,Windows 10,,"Laptop, Power Cord, Battery",,1 kg 200 g,B0DRW92KN8,,"#94,608 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3,009 in Traditional Laptops",30 December 2024,,,,,,1,,8 GB,,,Shared,,,,,,,,,20.00 8.00,46.6 x 44.79 x 8.3 cm; 1.2 kg,2,,,,,,,,,,
"(Refurbished) Dell Latitude 7310 (Core i7-10610U 10th Gen/ Ram 16 GB/ SSD 512 GB/ 13.3""/ Win- 10 Pro)- 1 Year Warranty, Notebook - Full HD - 1920 x 1080 -1.8GHz Hexa-core (6 Core)","38,499",https://www.amazon.in/Refurbished-Dell-Latitude-i7-10610U-Warranty/dp/B0D9BQFVBF/ref=sr_1_1329?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1329&xpid=KHCEe0RJJSJb6,2025-01-24 12:44:46,Dell,Dell,Dell Latitude 7310,,Notebook,,,13.3 Inches,1920 x 1080 pixels,,,,Intel,Intel Core i7,1.8 GHz,,DDR4,512 GB,SSD,,,Intel,Integrated,Bluetooth,,Windows 10 Pro,45 Watt Hours,"1 Laptop, Adapter with power cord",,2 kg 330 g,B0D9BQFVBF,"2.7
6 ratings
2.7 out of 5 stars","#72,399 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,281 in Traditional Laptops",12 July 2024,Dell,,,Laptop,1 Lithium Ion batteries required. (included),1,,16 GB,,,DDR4 SDRAM,,Integrated,,1,,,Yes,3,1.0 count,51.4 x 32.4 x 8 cm; 2.33 kg,2,,,,,,,,,,
"Dell XPS 14 9440 Laptop, AI Enabled Processor Intel Core Ultra 7 155H, 16GB + 1TB SSD, 14.5"" (36.83cm) 3.2K OLED Touch,Backlit KB + FPR, Win 11 + MSO'21 & 15 Month McAfee, Platinum,Thin & Light-1.68kg","2,01,990",https://www.amazon.in/Dell-Enabled-Processor-Platinum-Light-1-68kg/dp/B0D2DP2BQR/ref=sr_1_1330?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1330&xpid=KHCEe0RJJSJb6,2025-01-24 12:44:46,Dell,Dell India Pvt Ltd,XPS,Platinum,Laptop,42.9 Centimeters,34 Centimeters,14.5 Inches,3200 x 1800 pixel,,10.9 x 34 x 42.9 cm; 3.54 kg,,Intel,Core i7,4.8 GHz,16,Lpddr 5,,SSD,Bluetooth,,Intel,Integrated,Bluetooth,,Windows 11 Home,69.5 Watt Hours,"Laptop, Battery, AC Adapter, User Guide, Manuals",India,3 kg 540 g,B0D2DP2BQR,"5.0
1 rating
5.0 out of 5 stars","#92,191 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,916 in Traditional Laptops",22 April 2024,Dell India Pvt Ltd,Dell India Pvt Ltd,10.9 x 34 x 42.9 Centimeters,Laptop,1 Lithium Ion batteries required. (included),1,,64 GB,,,Shared,,Integrated,,,240 Volts,,Yes,6,1 Count,,,,,,,,,,,,
"(Refurbished) Dell Latitude 3510 Ultraslim Intel Core i5-10210U Quadcore Processor Intel UHD Graphic Laptop (16GB DDR4 RAM/512GB SSD/15.6"" FHD (1080p)/Windows 11/WiFi/Bluetooth/Numeric KEYPAD)","29,990",https://www.amazon.in/Refurbished-Dell-Ultraslim-i5-10210U-Processor/dp/B0D9QXNZLH/ref=sr_1_1321?dib=eyJ2IjoiMSJ9.v2y9CIoba47r8LffDkWUWPPaNwEGSKJ8niKPTW59kGO0Ra8Kxs9jZdAQDth3MeWkji0hpX649_-707N9-uny1p7FTlNPke8d9DWV2ghxLP7bZI9oiGKfsCM4nJNM7wLDBHsF3odAFcCOuvUAzhsBhct0EaBSGcun3_pk-5p8RBzHMhWpnjogtwV6EDNd6aadr8OBJ9PGhq8cl25Z4GTQLL7KkGJDCIjJvs51rwYpQY-CG6-h9aZEbh3DDhjaCctnln3XZy2xbs1bJwLEs5YZgSjROZmaj9U4l2U6GHqroxXjdPNpvEOmbZQd4_-ggtS8QsQ1BeN1do71yDKwzXccmCpaDfD81-CERJNM2xGoOyY.OMtm0VL7UtA-2FbnH1tQJMJ3eBkBqPmuX_4AeI4Lq0g&dib_tag=se&qid=1737702487&s=computers&sr=1-1321&xpid=KHCEe0RJJSJb6,2025-01-24 12:44:46,Dell,DELL,Dell Latitude,Black,Laptop,,,15.6 Inches,1920 x 1080 pixel,1920 x 1200 pixels Pixels,,,Intel,Intel Core i5,1.6 GHz,16,DDR4,,SSD,Headphones,,Intel,Integrated,"Bluetooth, Wi-Fi",1,Windows,,"Laptop, Power Cord, Battery, Power Adaptor",India,1 kg 820 g,B0D9QXNZLH,,"#94,310 in Computers & Accessories (See Top 100 in Computers & Accessories)
#95 in Best Offers from Renewed
#193 in Refurbished Deals
#2,997 in Traditional Laptops",19 July 2024,RENTOPCDOTCOM,,,,,1,,64 GB,,,Shared,,Integrated,,3,,,,,1.00 count,20 x 20 x 10 cm; 1.82 kg,,,,,,,,,,,
